ticker,price_date,adj_close
JNJ,2021-03-01,143.4774
JNJ,2021-04-01,142.0631
JNJ,2021-05-01,147.755
JNJ,2021-06-01,144.7151
JNJ,2021-07-01,151.2683
JNJ,2021-08-01,152.0853
JNJ,2021-09-01,142.712
JNJ,2021-10-01,143.9314
JNJ,2021-11-01,137.7899
JNJ,2021-12-01,152.1588
JNJ,2022-01-01,153.244
JNJ,2022-02-01,146.3774
JNJ,2022-03-01,158.6498
JNJ,2022-04-01,161.5412
JNJ,2022-05-01,160.7086
JNJ,2022-06-01,159.9215
JNJ,2022-07-01,157.2278
JNJ,2022-08-01,145.3537
JNJ,2022-09-01,148.1624
JNJ,2022-10-01,157.7854
JNJ,2022-11-01,161.4404
JNJ,2022-12-01,161.2501
JNJ,2023-01-01,149.1735
JNJ,2023-02-01,139.8992
JNJ,2023-03-01,142.5051
JNJ,2023-04-01,150.5038
JNJ,2023-05-01,142.5603
JNJ,2023-06-01,153.3253
JNJ,2023-07-01,155.1872
JNJ,2023-08-01,149.7682
JNJ,2023-09-01,145.3226
JNJ,2023-10-01,138.4087
JNJ,2023-11-01,144.3056
JNJ,2023-12-01,147.4175
JNJ,2024-01-01,149.449
JNJ,2024-02-01,151.7815
JNJ,2024-03-01,149.9109
JNJ,2024-04-01,137.0227
JNJ,2024-05-01,138.9938
JNJ,2024-06-01,139.6302
JNJ,2024-07-01,150.7979
JNJ,2024-08-01,158.45
JNJ,2024-09-01,155.9949
JNJ,2024-10-01,153.8772
JNJ,2024-11-01,149.2087
JNJ,2024-12-01,140.3246
JNJ,2025-01-01,147.6309
JNJ,2025-02-01,160.1187
JNJ,2025-03-01,162.2024
JNJ,2025-04-01,152.8814
JNJ,2025-05-01,151.8055
JNJ,2025-06-01,150.6803
JNJ,2025-07-01,162.5078
JNJ,2025-08-01,174.7694
JNJ,2025-09-01,184.2502
JNJ,2025-10-01,187.6784
JNJ,2025-11-01,205.6145
JNJ,2025-12-01,206.95
JNJ,2026-01-01,227.25
JNJ,2026-02-01,245.84
