ticker,price_date,adj_close
KO,2021-03-01,45.3489
KO,2021-04-01,46.8281
KO,2021-05-01,47.9646
KO,2021-06-01,46.9409
KO,2021-07-01,49.8468
KO,2021-08-01,49.2175
KO,2021-09-01,45.8612
KO,2021-10-01,49.6418
KO,2021-11-01,46.1897
KO,2021-12-01,52.5472
KO,2022-01-01,54.1446
KO,2022-02-01,55.2362
KO,2022-03-01,55.0232
KO,2022-04-01,57.7784
KO,2022-05-01,56.6785
KO,2022-06-01,56.2582
KO,2022-07-01,57.7996
KO,2022-08-01,55.5838
KO,2022-09-01,50.4587
KO,2022-10-01,54.3015
KO,2022-11-01,57.7129
KO,2022-12-01,58.1222
KO,2023-01-01,56.0298
KO,2023-02-01,54.3759
KO,2023-03-01,56.6785
KO,2023-04-01,59.0652
KO,2023-05-01,54.9311
KO,2023-06-01,55.4467
KO,2023-07-01,57.4555
KO,2023-08-01,55.5072
KO,2023-09-01,51.9354
KO,2023-10-01,52.8243
KO,2023-11-01,54.6478
KO,2023-12-01,55.5448
KO,2024-01-01,56.0726
KO,2024-02-01,56.5722
KO,2024-03-01,57.6655
KO,2024-04-01,58.6873
KO,2024-05-01,59.7894
KO,2024-06-01,60.4735
KO,2024-07-01,63.9013
KO,2024-08-01,69.3876
KO,2024-09-01,68.8035
KO,2024-10-01,62.9608
KO,2024-11-01,61.7751
KO,2024-12-01,60.4758
KO,2025-01-01,61.6608
KO,2025-02-01,69.1693
KO,2025-03-01,69.5675
KO,2025-04-01,70.9909
KO,2025-05-01,70.5506
KO,2025-06-01,69.2296
KO,2025-07-01,66.9034
KO,2025-08-01,67.9874
KO,2025-09-01,65.3562
KO,2025-10-01,68.4194
KO,2025-11-01,72.61
KO,2025-12-01,69.4224
KO,2026-01-01,74.81
KO,2026-02-01,80.56
