ticker,price_date,adj_close
HON,2021-03-01,185.5713
HON,2021-04-01,190.675
HON,2021-05-01,197.4029
HON,2021-06-01,188.3163
HON,2021-07-01,200.7133
HON,2021-08-01,199.0993
HON,2021-09-01,182.9732
HON,2021-10-01,188.4379
HON,2021-11-01,174.3194
HON,2021-12-01,180.5004
HON,2022-01-01,177.0118
HON,2022-02-01,164.2605
HON,2022-03-01,169.3691
HON,2022-04-01,168.4377
HON,2022-05-01,168.5335
HON,2022-06-01,152.0663
HON,2022-07-01,168.3831
HON,2022-08-01,165.6622
HON,2022-09-01,146.8115
HON,2022-10-01,179.3884
HON,2022-11-01,193.0434
HON,2022-12-01,189.35
HON,2023-01-01,184.2076
HON,2023-02-01,169.1868
HON,2023-03-01,169.7632
HON,2023-04-01,177.5088
HON,2023-05-01,170.1895
HON,2023-06-01,185.2798
HON,2023-07-01,173.3416
HON,2023-08-01,167.8144
HON,2023-09-01,165.8598
HON,2023-10-01,164.5311
HON,2023-11-01,175.8973
HON,2023-12-01,189.3858
HON,2024-01-01,182.6578
HON,2024-02-01,179.4699
HON,2024-03-01,186.3768
HON,2024-04-01,175.0081
HON,2024-05-01,183.5982
HON,2024-06-01,194.9312
HON,2024-07-01,186.9072
HON,2024-08-01,189.7918
HON,2024-09-01,189.7289
HON,2024-10-01,188.7835
HON,2024-11-01,213.795
HON,2024-12-01,208.354
HON,2025-01-01,206.3524
HON,2025-02-01,196.3632
HON,2025-03-01,196.3569
HON,2025-04-01,195.1978
HON,2025-05-01,210.1924
HON,2025-06-01,217.0543
HON,2025-07-01,207.2399
HON,2025-08-01,204.5836
HON,2025-09-01,197.2165
HON,2025-10-01,200.1313
HON,2025-11-01,191.0457
HON,2025-12-01,195.09
HON,2026-01-01,227.52
HON,2026-02-01,243.06
