ticker,price_date,adj_close
CVX,2021-03-01,85.0937
CVX,2021-04-01,83.697
CVX,2021-05-01,84.2817
CVX,2021-06-01,86.0942
CVX,2021-07-01,83.6858
CVX,2021-08-01,79.543
CVX,2021-09-01,84.5142
CVX,2021-10-01,95.3773
CVX,2021-11-01,94.0278
CVX,2021-12-01,98.8898
CVX,2022-01-01,110.6706
CVX,2022-02-01,121.3475
CVX,2022-03-01,138.656
CVX,2022-04-01,133.4105
CVX,2022-05-01,148.7297
CVX,2022-06-01,124.2999
CVX,2022-07-01,140.6122
CVX,2022-08-01,135.7014
CVX,2022-09-01,124.4677
CVX,2022-10-01,156.7217
CVX,2022-11-01,158.8096
CVX,2022-12-01,156.703
CVX,2023-01-01,151.9275
CVX,2023-02-01,140.3596
CVX,2023-03-01,143.7055
CVX,2023-04-01,148.4792
CVX,2023-05-01,132.6607
CVX,2023-06-01,139.9454
CVX,2023-07-01,145.5574
CVX,2023-08-01,143.2806
CVX,2023-09-01,151.41
CVX,2023-10-01,130.8562
CVX,2023-11-01,128.9437
CVX,2023-12-01,135.3402
CVX,2024-01-01,133.7704
CVX,2024-02-01,137.9261
CVX,2024-03-01,144.687
CVX,2024-04-01,147.9249
CVX,2024-05-01,148.8696
CVX,2024-06-01,144.925
CVX,2024-07-01,148.6774
CVX,2024-08-01,137.0775
CVX,2024-09-01,137.9745
CVX,2024-10-01,139.4267
CVX,2024-11-01,151.7092
CVX,2024-12-01,137.0822
CVX,2025-01-01,141.1992
CVX,2025-02-01,150.1241
CVX,2025-03-01,160.0858
CVX,2025-04-01,130.2007
CVX,2025-05-01,130.8131
CVX,2025-06-01,138.6927
CVX,2025-07-01,146.8773
CVX,2025-08-01,155.5559
CVX,2025-09-01,152.087
CVX,2025-10-01,154.4669
CVX,2025-11-01,148.0128
CVX,2025-12-01,150.9335
CVX,2026-01-01,175.1863
CVX,2026-02-01,184.91
