ticker,price_date,adj_close
NEE,2021-03-01,66.8841
NEE,2021-04-01,68.5648
NEE,2021-05-01,64.7699
NEE,2021-06-01,64.823
NEE,2021-07-01,69.274
NEE,2021-08-01,74.6897
NEE,2021-09-01,70.1449
NEE,2021-10-01,76.2285
NEE,2021-11-01,77.5238
NEE,2021-12-01,83.7714
NEE,2022-01-01,70.0966
NEE,2022-02-01,70.2312
NEE,2022-03-01,76.4308
NEE,2022-04-01,64.0788
NEE,2022-05-01,68.2924
NEE,2022-06-01,70.2875
NEE,2022-07-01,76.6665
NEE,2022-08-01,77.1837
NEE,2022-09-01,71.4945
NEE,2022-10-01,70.6648
NEE,2022-11-01,77.2298
NEE,2022-12-01,76.6139
NEE,2023-01-01,68.3935
NEE,2023-02-01,65.0943
NEE,2023-03-01,71.0951
NEE,2023-04-01,70.68
NEE,2023-05-01,67.7561
NEE,2023-06-01,68.8779
NEE,2023-07-01,68.0424
NEE,2023-08-01,62.0087
NEE,2023-09-01,53.5492
NEE,2023-10-01,54.4933
NEE,2023-11-01,54.6896
NEE,2023-12-01,57.236
NEE,2024-01-01,55.2477
NEE,2024-02-01,52.0061
NEE,2024-03-01,60.7743
NEE,2024-04-01,63.6842
NEE,2024-05-01,76.0939
NEE,2024-06-01,67.3358
NEE,2024-07-01,73.1125
NEE,2024-08-01,77.0558
NEE,2024-09-01,81.4273
NEE,2024-10-01,76.3411
NEE,2024-11-01,75.7824
NEE,2024-12-01,69.5214
NEE,2025-01-01,69.3953
NEE,2025-02-01,68.0474
NEE,2025-03-01,69.312
NEE,2025-04-01,65.3913
NEE,2025-05-01,69.0676
NEE,2025-06-01,67.8748
NEE,2025-07-01,70.0404
NEE,2025-08-01,71.0162
NEE,2025-09-01,74.9823
NEE,2025-10-01,80.8525
NEE,2025-11-01,85.7096
NEE,2025-12-01,80.28
NEE,2026-01-01,87.9
NEE,2026-02-01,94.06
