ticker,price_date,adj_close
PG,2021-03-01,119.3778
PG,2021-04-01,117.606
PG,2021-05-01,119.627
PG,2021-06-01,119.698
PG,2021-07-01,126.174
PG,2021-08-01,127.1103
PG,2021-09-01,124.7983
PG,2021-10-01,127.6459
PG,2021-11-01,129.8654
PG,2021-12-01,146.9317
PG,2022-01-01,144.1202
PG,2022-02-01,140.7804
PG,2022-03-01,137.9899
PG,2022-04-01,144.9887
PG,2022-05-01,134.296
PG,2022-06-01,130.5817
PG,2022-07-01,126.15
PG,2022-08-01,126.0823
PG,2022-09-01,115.3972
PG,2022-10-01,123.0934
PG,2022-11-01,137.3054
PG,2022-12-01,139.5146
PG,2023-01-01,131.0642
PG,2023-02-01,127.4219
PG,2023-03-01,137.7316
PG,2023-04-01,144.8549
PG,2023-05-01,132.8242
PG,2023-06-01,141.4368
PG,2023-07-01,145.6872
PG,2023-08-01,144.7667
PG,2023-09-01,136.8127
PG,2023-10-01,140.724
PG,2023-11-01,144.9064
PG,2023-12-01,138.318
PG,2024-01-01,148.3233
PG,2024-02-01,150.9698
PG,2024-03-01,154.1138
PG,2024-04-01,155.0162
PG,2024-05-01,157.2981
PG,2024-06-01,157.6614
PG,2024-07-01,153.6845
PG,2024-08-01,164.9763
PG,2024-09-01,166.5728
PG,2024-10-01,158.8597
PG,2024-11-01,173.4146
PG,2024-12-01,162.1832
PG,2025-01-01,160.5773
PG,2025-02-01,169.1968
PG,2025-03-01,165.8681
PG,2025-04-01,158.2278
PG,2025-05-01,166.383
PG,2025-06-01,156.0312
PG,2025-07-01,147.3639
PG,2025-08-01,154.85
PG,2025-09-01,151.5073
PG,2025-10-01,148.273
PG,2025-11-01,147.1155
PG,2025-12-01,142.2997
PG,2026-01-01,150.7
PG,2026-02-01,165.17
